"","time","actor1","actor2"
"220",8979.75,"OPAL.ST","VNE"
"221",9041.16666666667,"CLOVER","EASTLAKE"
"222",9071.5,"WHITE.FENCE","TINY.DUKES"
"223",9344.25,"VICKY.S.TOWN","SENTINEL.BOYS"
"224",9641.41666666667,"STATE.ST","KAM"
"225",9768,"CUATRO.FLATS","CLARENCE.ST"
"226",10180.0833333333,"X18TH.STREET","ROSE.HILLS"
"227",10315.5,"VNE","OPAL.ST"
"228",10318.75,"CUATRO.FLATS","CLARENCE.ST"
"229",10344.75,"KAM","LIL.EASTSIDE"
"230",10359.5,"VNE","X8TH.STREET"
"231",10466.3333333333,"TMC","PRIMERA.FLATS"
"232",10531.9166666667,"SENTINEL.BOYS","KAM"
"233",10581,"CLOVER","WHITE.FENCE"
"234",10772.5,"CUATRO.FLATS","CLARENCE.ST"
"235",10868.5,"LOCKE","LOWELL"
"236",10868.6666666667,"CUATRO.FLATS","TMC"
"237",10868.75,"CUATRO.FLATS","TMC"
"238",10914.25,"TMC","X18TH.STREET"
"239",10962.25,"EVERGREEN","OPAL.ST"
"240",11330,"CUATRO.FLATS","CLARENCE.ST"
"241",11403.25,"EVERGREEN","LINCOLN.HEIGHTS"
"242",11417.8333333333,"LINCOLN.HEIGHTS","EASTLAKE"
"243",11526,"EVERGREEN","WHITE.FENCE"
"245",11542,"TMC","CUATRO.FLATS"
"246",11569.25,"KAM","VICKY.S.TOWN"
"247",11587.75,"EASTLAKE","LINCOLN.HEIGHTS"
"248",11616,"WHITE.FENCE","EVERGREEN"
"249",11642.6666666667,"TMC","CUATRO.FLATS"
"250",11735.5,"LINCOLN.HEIGHTS","EASTLAKE"
"251",11806,"EASTLAKE","CLOVER"
"252",11814.0833333333,"ROSE.HILLS","X18TH.STREET"
"253",11827.1666666667,"CLARENCE.ST","PRIMERA.FLATS"
"254",11853.5833333333,"CLARENCE.ST","PRIMERA.FLATS"
"255",12171.5,"EASTLAKE","CLOVER"
"256",12267,"CUATRO.FLATS","TMC"
"257",12648.5,"EASTLAKE","CLOVER"
"258",12671,"LOCKE","LOWELL"
"259",12720.6666666667,"STATE.ST","KAM"
"260",12793.5,"KAM","EVERGREEN"
"261",12839.5,"HAPPY.VALLEY","EASTLAKE"
"262",12842,"X18TH.STREET","ROSE.HILLS"
"263",12871,"TMC","CUATRO.FLATS"
"264",12954.25,"ROSE.HILLS","X18TH.STREET"
"265",12980.5,"MC.FORCE","TINY.DUKES"
"266",13006.25,"LINCOLN.HEIGHTS","EASTLAKE"
"267",13037.3333333333,"EASTLAKE","CLOVER"
"268",13052.6666666667,"KAM","STATE.ST"
"269",13061.6833333333,"LOCKE","LOWELL"
"270",13073.1666666667,"LOWELL","PRIMERA.FLATS"
"271",13079.9166666667,"CLOVER","EASTLAKE"
"272",13081,"VNE","MC.FORCE"
"273",13177.5833333333,"LOCKE","LOWELL"
"274",13201.75,"EVERGREEN","WHITE.FENCE"
"275",13210.75,"KAM","STATE.ST"
"276",13351.4166666667,"TINY.BOYS","STATE.ST"
"277",13364,"STATE.ST","KAM"
"278",13397.8333333333,"STATE.ST","HAPPY.VALLEY"
"279",13534.75,"X8TH.STREET","OPAL.ST"
"280",13554.25,"OPAL.ST","VNE"
"281",13658.8333333333,"LOWELL","LOCKE"
"282",13683,"X8TH.STREET","OPAL.ST"
"283",13804.25,"X8TH.STREET","WHITE.FENCE"
"284",13880.8333333333,"LOCKE","LOWELL"
"285",13898.5,"OPAL.ST","VNE"
"286",13898.8166666667,"OPAL.ST","WHITE.FENCE"
"287",13985,"HAZARD","CLOVER"
"288",14019.4166666667,"CUATRO.FLATS","BOYLE.HEIGHTS"
"289",14031,"VNE","WHITE.FENCE"
"290",14040.75,"X8TH.STREET","PRIMERA.FLATS"
"291",14043.8333333333,"X8TH.STREET","VNE"
"292",14064.75,"WHITE.FENCE","EVERGREEN"
"293",14115.25,"LOWELL","LOCKE"
"294",14186,"LOWELL","LOCKE"
"295",14187.25,"VNE","OPAL.ST"
"296",14212.9166666667,"X8TH.STREET","INDIANA.DUKES"
